Equipo_Local;Equipo_Visitante;Temporada;Goles_Local;Goles_Visitante;Puntos_Locales;Puntos_Visitantes;Resultado
Levante;Real Madrid;2020/2021;0;2;0;3;2
Cádiz;Granada;2020/2021;1;1;1;1;x
Barcelona;Sevilla;2020/2021;1;1;1;1;x
Granada;Sevilla;2020/2021;1;0;3;0;1
Celta;Atlético;2020/2021;0;2;0;3;2
Real Madrid;Cádiz;2020/2021;0;1;0;3;2
Getafe;Barcelona;2020/2021;1;0;3;0;1
Eibar;Osasuna;2020/2021;0;0;1;1;x
Athletic;Levante;2020/2021;2;0;3;0;1
Villarreal;Valencia;2020/2021;2;1;3;0;1
Alavés;Elche;2020/2021;0;2;0;3;2
Huesca;Real Valladolid;2020/2021;2;2;1;1;x
Betis;R. Sociedad;2020/2021;0;3;0;3;2
Elche;Valencia;2020/2021;2;1;3;0;1
Barcelona;Real Madrid;2020/2021;1;3;0;3;2
Osasuna;Athletic;2020/2021;1;0;3;0;1
Sevilla;Eibar;2020/2021;0;1;0;3;2
Atlético;Betis;2020/2021;2;0;3;0;1
Real Valladolid;Alavés;2020/2021;0;2;0;3;2
Cádiz;Villarreal;2020/2021;0;0;1;1;x
Getafe;Granada;2020/2021;0;1;0;3;2
R. Sociedad;Huesca;2020/2021;4;1;3;0;1
Levante;Celta;2020/2021;1;1;1;1;x
Eibar;Cádiz;2020/2021;0;2;0;3;2
Real Madrid;Huesca;2020/2021;4;1;3;0;1
Athletic;Sevilla;2020/2021;2;1;3;0;1
Osasuna;Atlético;2020/2021;1;3;0;3;2
Alavés;Barcelona;2020/2021;1;1;1;1;x
Betis;Elche;2020/2021;3;1;3;0;1
Celta;R. Sociedad;2020/2021;1;4;0;3;2
Granada;Levante;2020/2021;1;1;1;1;x
Valencia;Getafe;2020/2021;2;2;1;1;x
Villarreal;Real Valladolid;2020/2021;2;0;3;0;1
Elche;Celta;2020/2021;1;1;1;1;x
Huesca;Eibar;2020/2021;1;1;1;1;x
Barcelona;Betis;2020/2021;5;2;3;0;1
Sevilla;Osasuna;2020/2021;1;0;3;0;1
Atlético;Cádiz;2020/2021;4;0;3;0;1
Getafe;Villarreal;2020/2021;1;3;0;3;2
R. Sociedad;Granada;2020/2021;2;0;3;0;1
Real Valladolid;Athletic;2020/2021;2;1;3;0;1
Levante;Alavés;2020/2021;1;1;1;1;x
Valencia;Real Madrid;2020/2021;4;1;3;0;1
Osasuna;Huesca;2020/2021;1;1;1;1;x
Levante;Elche;2020/2021;1;1;1;1;x
Villarreal;Real Madrid;2020/2021;1;1;1;1;x
Sevilla;Celta;2020/2021;4;2;3;0;1
Atlético;Barcelona;2020/2021;1;0;3;0;1
Eibar;Getafe;2020/2021;0;0;1;1;x
Cádiz;R. Sociedad;2020/2021;0;1;0;3;2
Granada;Real Valladolid;2020/2021;1;3;0;3;2
Alavés;Valencia;2020/2021;2;2;1;1;x
Athletic;Betis;2020/2021;4;0;3;0;1
Real Valladolid;Levante;2020/2021;1;1;1;1;x
Elche;Cádiz;2020/2021;1;1;1;1;x
Valencia;Atlético;2020/2021;0;1;0;3;2
Huesca;Sevilla;2020/2021;0;1;0;3;2
Real Madrid;Alavés;2020/2021;1;2;0;3;2
Barcelona;Osasuna;2020/2021;4;0;3;0;1
Getafe;Athletic;2020/2021;1;1;1;1;x
Celta;Granada;2020/2021;3;1;3;0;1
R. Sociedad;Villarreal;2020/2021;1;1;1;1;x
Betis;Eibar;2020/2021;0;2;0;3;2
Athletic;Celta;2020/2021;0;2;0;3;2
Levante;Getafe;2020/2021;3;0;3;0;1
Sevilla;Real Madrid;2020/2021;0;1;0;3;2
Atlético;Real Valladolid;2020/2021;2;0;3;0;1
Cádiz;Barcelona;2020/2021;2;1;3;0;1
Granada;Huesca;2020/2021;3;2;3;0;1
Osasuna;Betis;2020/2021;0;2;0;3;2
Villarreal;Elche;2020/2021;0;0;1;1;x
Alavés;R. Sociedad;2020/2021;0;0;1;1;x
Eibar;Valencia;2020/2021;0;0;1;1;x
Real Valladolid;Osasuna;2020/2021;3;2;3;0;1
Valencia;Athletic;2020/2021;2;2;1;1;x
Getafe;Sevilla;2020/2021;0;1;0;3;2
Huesca;Alavés;2020/2021;1;0;3;0;1
Real Madrid;Atlético;2020/2021;2;0;3;0;1
R. Sociedad;Eibar;2020/2021;1;1;1;1;x
Betis;Villarreal;2020/2021;1;1;1;1;x
