EquipoLocal;EquipoVisitante;Temporada;Fecha;Goles_Locales;Goles_Visitantes;Puntos_locales;Puntos_Visitantes;Diferencia_Goles;Resultado
Betis;Barcelona;2015/2016;30/04/2016;0;2;0;3;2;2
Granada;Las Palmas;2015/2016;30/04/2016;3;2;3;0;1;1
R. Sociedad;Real Madrid;2015/2016;30/04/2016;0;1;0;3;1;2
Athletic;Celta;2015/2016;01/05/2016;2;1;3;0;1;1
Espanyol;Sevilla;2015/2016;01/05/2016;1;0;3;0;1;1
Deportivo;Getafe;2015/2016;01/05/2016;0;2;0;3;2;2
Valencia;Villarreal;2015/2016;01/05/2016;0;2;0;3;2;2
Málaga;Levante;2015/2016;02/05/2016;3;1;3;0;2;1
Barcelona;Espanyol;2015/2016;08/05/2016;5;0;3;0;5;1
Celta;Málaga;2015/2016;08/05/2016;1;0;3;0;1;1
Eibar;Betis;2015/2016;08/05/2016;1;1;1;1;0;x
Getafe;Sporting Gijón;2015/2016;08/05/2016;1;1;1;1;0;x
Las Palmas;Athletic;2015/2016;08/05/2016;0;0;1;1;0;x
Levante;Atlético;2015/2016;08/05/2016;2;1;3;0;1;1
Real Madrid;Valencia;2015/2016;08/05/2016;3;2;3;0;1;1
Sevilla;Granada;2015/2016;08/05/2016;1;4;0;3;3;2
R. Sociedad;Rayo;2015/2016;08/05/2016;2;1;3;0;1;1
Villarreal;Deportivo;2015/2016;08/05/2016;0;2;0;3;2;2
Valencia;R. Sociedad;2015/2016;13/05/2016;0;1;0;3;1;2
Athletic;Sevilla;2015/2016;14/05/2016;3;1;3;0;2;1
Atlético;Celta;2015/2016;14/05/2016;2;0;3;0;2;1
Granada;Barcelona;2015/2016;14/05/2016;0;3;0;3;3;2
Deportivo;Real Madrid;2015/2016;14/05/2016;0;2;0;3;2;2
